Scopus refine results values

"Your query : (TITLE-ABS-KEY( (""electric vehicle*"" OR ""plug-in vehicle*"" OR ""plug-in hybrid"" OR EV) AND (""distribution network"" OR ""distribution networks"" OR ""distribution system"" OR ""distribution systems"" OR ""distribution grid"" OR ""distribution feeder*"" OR ""radial feeder*"" OR ""low-voltage network"" OR ""LV network"" OR ""low voltage network"" OR ""medium-voltage network"" OR ""MV network"" OR ""medium voltage network"") AND ( ""charging station"" OR ""charging stations"" OR ""charging infrastructure"" OR ""charging facility"" OR ""charging facilities"" OR ""charging hub"" OR ""charging hubs"" OR ""electric vehicle supply equipment"" OR EVSE OR EVCS OR ""home charging"" OR ""residential charging"" OR ""home energy management"" OR ""smart home"" OR ""smart-home"" OR ""home battery"" OR ""residential storage"" OR siting OR ""siting and sizing"" OR sizing OR ""location-allocation"" OR ""location allocation"" OR ""facility location"" OR placement OR allocation OR ""infrastructure planning"" OR ""network planning"" ) AND ( ""power flow"" OR ""load flow"" OR ""power-flow"" OR ""load-flow"" OR ""voltage profile"" OR ""voltage constraint"" OR ""voltage constraints"" OR ""hosting capacity"" OR ""network reinforcement"" OR ""line capacity"" OR ""feeder capacity"" ) ) AND PUBYEAR > 2014 AND PUBYEAR < 2027 AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""ENER"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 417

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Mishra, P.","2",,,,,,,"Microsystem Technologies","1","Microgrids","11","The University of Hong Kong","2","National Research Council of Thailand","1",,,,,,
,,,,"Moeini-Aghtaie, M.","2",,,,,,,"Multimedia Tools and Applications","1","Network Reconfiguration","11","University of Missouri-Kansas City","2","National Science and Technology Council","1",,,,,,
,,,,"Mohammadi-Ivatloo, B.","2",,,,,,,"Proceedings of Institution of Civil Engineers Energy","1","Optimal Power Flows","11","Università degli Studi di Salerno","2","National University of Science and Technology","1",,,,,,
,,,,"Mohan, B.","2",,,,,,,"Renewable Energy Focus","1","Photovoltaic Cells","11","Universidad Técnica Federico Santa María","2","Natural Science Foundation of Chongqing","1",,,,,,
,,,,"Mohsenzadeh, A.","2",,,,,,,"Sensors","1","Probabilistic Load Flow","11","Islamic Azad University, South Tehran Branch","2","Natural Science Foundation of Gansu Province","1",,,,,,
,,,,"Monti, A.","2",,,,,,,"Serbian Journal of Electrical Engineering","1","Radial Distribution Systems","11","Sungkyunkwan University","2","Natural Science Foundation of Guangxi Province","1",,,,,,
,,,,"Morais, H.","2",,,,,,,"Smart Science","1","Swarm Optimization","11","Universitat Politècnica de Catalunya","2","Natural Science Foundation of Hebei Province","1",,,,,,
,,,,"Muñoz-Delgado, G.","2",,,,,,,"Ssrg International Journal of Electrical and Electronics Engineering","1","Active Distribution Network","10","Sri Venkateswara University","2","Natural Science Foundation of Ningbo Municipality","1",,,,,,
,,,,"Nandi, S.","2",,,,,,,"Sustainable Computing Informatics and Systems","1","Charging Loads","10","The Hong Kong Polytechnic University","2","Natural Science Foundation of Hunan Province","1",,,,,,
,,,,"Ochoa, L.F.","2",,,,,,,"Technical Electrodynamics","1","Digital Storage","10","Wayne State University","2","Natural Science Research of Jiangsu Higher Education Institutions of China","1",,,,,,
,,,,"Paulucci, M.","2",,,,,,,,,"Distribution Static Compensator","10","Lanzhou Jiaotong University","2","NextGenerationEU","1",,,,,,
,,,,"Pazouki, S.","2",,,,,,,,,"Economic And Social Effects","10","Vellore Institute of Technology","2","Ningbo Municipal Bureau of Science and Technology","1",,,,,,
,,,,"Perli, S.B.","2",,,,,,,,,"Electric Machine Control","10","Christian-Albrechts-Universität zu Kiel","2","Norges Teknisk-Naturvitenskapelige Universitet","1",,,,,,
,,,,"Pompern, N.","2",,,,,,,,,"Fast Charging Station","10","Kumaraguru College of Technology","2","Northern Borders University","1",,,,,,
,,,,"Ponci, F.","2",,,,,,,,,"Greenhouse Gases","10","University of Zanjan","2","Office of Dietary Supplements","1",,,,,,
,,,,"Pratap, A.","2",,,,,,,,,"Multi-objective Optimization","10","Norges Teknisk-Naturvitenskapelige Universitet","2","Office of Energy Efficiency and Renewable Energy","1",,,,,,
,,,,"Premrudeepreechacharn, S.","2",,,,,,,,,"Particle Swarm","10","City University of Hong Kong","2","Politechnika Lubelska","1",,,,,,
,,,,"Qiu, J.","2",,,,,,,,,"Reliability","10","Indian Institute of Science","2","Politecnico di Milano","1",,,,,,
,,,,"Rabiee, A.","2",,,,,,,,,"Smart Power Grids","10","Universidad de Huelva","2","Prince Sultan University","1",,,,,,
,,,,"Rahman, M.T.","2",,,,,,,,,"Vehicle To Grids","10","University of Dhaka","2","Programa Operacional Temático Factores de Competitividade","1",,,,,,
,,,,"Raisz, D.","2",,,,,,,,,"Battery Energy Storage System","9","San Jose State University","2","Qatar National Library","1",,,,,,
,,,,"Rauma, K.","2",,,,,,,,,"Charging Infrastructures","9","Michigan Technological University","2","Qatar University","1",,,,,,
,,,,"Raviprakasha, M.S.","2",,,,,,,,,"Electric Transformers","9","Rheinisch-Westfälische Technische Hochschule Aachen","2","Rajamangala University of Technology Suvarnabhumi","1",,,,,,
,,,,"Rehman, N.","2",,,,,,,,,"Fast Charging (batteries)","9","Malaviya National Institute of Technology Jaipur","2","Reiner Lemoine Foundation","1",,,,,,
,,,,"Rehtanz, C.","2",,,,,,,,,"Load Flow","9","Yanshan University","2","Research Council of Finland","1",,,,,,
,,,,"Rihan, M.","2",,,,,,,,,"Networks Reconfiguration","9","Vlaamse Instelling voor Technologisch Onderzoek","2","Research Ireland","1",,,,,,
,,,,"Sa-nga-ngam, W.","2",,,,,,,,,"Optimal Power Flow","9","Tianjin University","2","SINTEF Industri","1",,,,,,
,,,,"Sandeep, V.","2",,,,,,,,,"Parking Lots","9","Monash University","2","Science and Engineering Research Council","1",,,,,,
,,,,"Saw, B.K.","2",,,,,,,,,"Photovoltaic Generation","9","Jamia Millia Islamia","2","Science and Technology Commission of Shanghai Municipality","1",,,,,,
,,,,"Sengupta, D.","2",,,,,,,,,"Plug-in Hybrid Vehicles","9","Texas A&M University","2","Science, Technology and Innovation Commission of Shenzhen Municipality","1",,,,,,
,,,,"Senjyu, T.","2",,,,,,,,,"Reinforcement","9","University of Liverpool","2","Seventh Framework Programme","1",,,,,,
,,,,"Sepasian, M.S.","2",,,,,,,,,"Renewable Energies","9","Kunming University of Science and Technology","2","Shahid Chamran University of Ahvaz","1",,,,,,
,,,,"Shafie-Khah, M.","2",,,,,,,,,"Vehicle Load","9","Anna University","2","Shanghai Key Laboratory of Power Station Automation Technology","1",,,,,,
,,,,"Shaheen, A.M.","2",,,,,,,,,"Voltage Stability","9","Hydro-Québec","2","Shanghai University","1",,,,,,
,,,,"Sharma, J.","2",,,,,,,,,"Active Distributions","8","Massachusetts Institute of Technology","2","Shenzhen Fundamental Research Program","1",,,,,,
,,,,"Shouran, M.","2",,,,,,,,,"Constrained Optimization","8","Politecnico di Milano","2","Shenzhen Municipal Science and Technology Innovation Council","1",,,,,,
,,,,"Siano, P.","2",,,,,,,,,"Cost Benefit Analysis","8","Menoufia University","2","Shenzhen Science and Technology Innovation Program","1",,,,,,
,,,,"Sitharthan, R.","2",,,,,,,,,"Distribution Transformers","8","Universidad Pontificia Comillas","2","Specific Research Project of Guangxi for Research Bases and Talents","1",,,,,,
,,,,"Soares, T.","2",,,,,,,,,"Electric Inverters","8","South China University of Technology","2","Stand Up for Energy","1",,,,,,
,,,,"Srithapon, C.","2",,,,,,,,,"Electric Load Dispatching","8","University of California, Berkeley","2","State Government of Victoria","1",,,,,,
,,,,"Sultana, U.","2",,,,,,,,,"Electric Power System Economics","8","E.ON","2","State Grid Henan Electric Power Company","1",,,,,,
,,,,"Sundarabalan, C.K.","2",,,,,,,,,"Energy Efficiency","8","ETH Zürich","2","Suranaree University of Technology","1",,,,,,
,,,,"Suresh, H.L.","2",,,,,,,,,"Energy Utilization","8","Benha University","2","Technische Universitat Wien","1",,,,,,
,,,,"Thirumalai, M.","2",,,,,,,,,"Ev Charging Station","8","Clarkson University","2","The Slovenian Research and Innovation Agency","1",,,,,,
,,,,"Toghranegar, S.","2",,,,,,,,,"Load Flow Optimization","8","Suranaree University of Technology","2","Thiagarajar College of Engineering","1",,,,,,
,,,,"Vafaeipour, M.","2",,,,,,,,,"Multi Objective","8","Gdańsk University of Technology","2","US-Pakistan Centre for Advanced Studies in Energy, University of Engineering and Technology, Peshawar","1",,,,,,
,,,,"Veisi, M.","2",,,,,,,,,"Multi-objectives Optimization","8","The University of Edinburgh","2","United States Agency for International Development","1",,,,,,
,,,,"Verbič, G.","2",,,,,,,,,"Numerical Methods","8","Sharif University of Technology","2","Universidad de los Andes","1",,,,,,
