Scopus refine results values

"Your query : (TITLE-ABS-KEY( (""electric vehicle*"" OR ""plug-in vehicle*"" OR ""plug-in hybrid"" OR EV) AND (""distribution network"" OR ""distribution networks"" OR ""distribution system"" OR ""distribution systems"" OR ""distribution grid"" OR ""distribution feeder*"" OR ""radial feeder*"" OR ""low-voltage network"" OR ""LV network"" OR ""low voltage network"" OR ""medium-voltage network"" OR ""MV network"" OR ""medium voltage network"") AND ( ""charging station"" OR ""charging stations"" OR ""charging infrastructure"" OR ""charging facility"" OR ""charging facilities"" OR ""charging hub"" OR ""charging hubs"" OR ""electric vehicle supply equipment"" OR EVSE OR EVCS OR ""home charging"" OR ""residential charging"" OR ""home energy management"" OR ""smart home"" OR ""smart-home"" OR ""home battery"" OR ""residential storage"" OR siting OR ""siting and sizing"" OR sizing OR ""location-allocation"" OR ""location allocation"" OR ""facility location"" OR placement OR allocation OR ""infrastructure planning"" OR ""network planning"" ) AND ( ""power flow"" OR ""load flow"" OR ""power-flow"" OR ""load-flow"" OR ""voltage profile"" OR ""voltage constraint"" OR ""voltage constraints"" OR ""hosting capacity"" OR ""network reinforcement"" OR ""line capacity"" OR ""feeder capacity"" ) ) AND PUBYEAR > 2014 AND PUBYEAR < 2027 AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""ENER"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 417

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Diaz-Cachinero, P.","3",,,,,,,"Sustainable Cities and Society","6","Particle Swarm Optimization (pso)","33","Christ University","5","Universidad de Castilla-La Mancha","3","Sweden","7",,,,
,,,,"Ghatak, S.R.","3",,,,,,,"Applied Sciences Switzerland","5","Photovoltaics","33","Faculty of Engineering","5","Bundesministerium für Bildung und Forschung","2","Turkey","7",,,,
,,,,"Golla, N.K.","3",,,,,,,"Iet Generation Transmission and Distribution","5","Power Distribution Networks","33","University of Johannesburg","4","Bundesministerium für Wirtschaft und Energie","2","Iraq","6",,,,
,,,,"Güldorum, H.C.","3",,,,,,,"Iet Renewable Power Generation","4","Reactive Power","31","Ministry of Education of the People's Republic of China","4","California Energy Commission","2","South Africa","6",,,,
,,,,"Kerdchuen, K.","3",,,,,,,"International Journal of Electrical and Electronics Research","4","Distributed Generation","29","Illinois Institute of Technology","4","China Postdoctoral Science Foundation","2","Belgium","5",,,,
,,,,"Lehtonen, M.","3",,,,,,,"International Journal of Emerging Electric Power Systems","4","Renewable Energy Source","29","Indian Institute of Technology Kharagpur","4","China Southern Power Grid","2","Singapore","5",,,,
,,,,"Marsong, S.","3",,,,,,,"Journal of Electrical Engineering and Technology","4","Uncertainty","29","University of Tabriz","4","Department of Science and Technology, Ministry of Science and Technology, India","2","Switzerland","5",,,,
,,,,"Mithulananthan, N.","3",,,,,,,"Journal of Modern Power Systems and Clean Energy","4","Energy Storage","28","Vaasan Yliopisto","4","H2020 Marie Skłodowska-Curie Actions","2","United Arab Emirates","5",,,,
,,,,"Mohanty, A.K.","3",,,,,,,"Energy Storage","3","Hosting Capacity","28","Faculty of Engineering","4","Korea Institute of Energy Technology Evaluation and Planning","2","Bangladesh","4",,,,
,,,,"Muttaqi, K.M.","3",,,,,,,"IEEE Transactions on Sustainable Energy","3","Plug-in Electric Vehicles","28","RMIT University","4","Ministerio de Ciencia e Innovación","2","Chile","4",,,,
,,,,"Prabaharan, N.","3",,,,,,,"International Journal of Ambient Energy","3","Fast Charging Stations","27","Technical University of Denmark","4","Ministry of Education","2","Greece","4",,,,
,,,,"Rao, M.V.G.","3",,,,,,,"Iranian Journal of Science and Technology Transactions of Electrical Engineering","3","Monte Carlo Methods","27","University of Waterloo","4","National Research Foundation of Korea","2","Indonesia","4",,,,
,,,,"Salama, M.M.A.","3",,,,,,,"Journal of Operation and Automation in Power Engineering","3","Voltage Profile","27","Acharya Nagarjuna University","4","Natural Science Foundation of Beijing Municipality","2","Poland","4",,,,
,,,,"Siritaratiwat, A.","3",,,,,,,"Canadian Journal of Electrical and Computer Engineering","2","Costs","26","Xi'an Jiaotong University","4","Nordic Energy Research","2","Austria","3",,,,
,,,,"Soliman, I.A.","3",,,,,,,"Cigre Science and Engineering","2","Distributed Generators","26","Yıldız Teknik Üniversitesi","4","Norges Forskningsråd","2","Colombia","3",,,,
,,,,"Swarnasri, K.","3",,,,,,,"Computers and Electrical Engineering","2","Genetic Algorithms","26","Institute for Systems and Computer Engineering, Technology and Science","4","State Grid Corporation of China","2","Hungary","3",,,,
,,,,"Tiwari, P.","3",,,,,,,"Distributed Generation and Alternative Energy Journal","2","Power","26","Huazhong University of Science and Technology","4","State Grid Jiangsu Electric Power","2","Ireland","3",,,,
,,,,"Tulsky, V.","3",,,,,,,"Energy Sources Part A Recovery Utilization and Environmental Effects","2","Voltage Control","26","Manipal Institute of Technology","4","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu","2","Netherlands","3",,,,
,,,,"Vadivel, S.","3",,,,,,,"IEEE Transactions on Intelligent Transportation Systems","2","Electric Vehicles (evs)","25","Wuhan University","4","U.S. Department of Energy","2","Russian Federation","3",,,,
,,,,"Wei, W.","3",,,,,,,"Ieej Transactions on Electrical and Electronic Engineering","2","Optimization Algorithms","25","Sapienza Università di Roma","4","Universidad Carlos III de Madrid","2","Viet Nam","3",,,,
,,,,"Abapour, S.","2",,,,,,,"International Journal of Power Electronics and Drive Systems","2","Powerloss","25","Alexandria University","4","Woosong University","2","Ethiopia","2",,,,
,,,,"Abd el-Ghany, H.A.","2",,,,,,,"Journal of Cleaner Production","2","Smart Grid","25","National University of Sciences and Technology","4","APC Europe","1","France","2",,,,
,,,,"Affolabi, L.","2",,,,,,,"Renewable Energy","2","Electric Network Parameters","24","Woosong University","4","Aalto-Yliopisto","1","Jordan","2",,,,
,,,,"Amini, M.H.","2",,,,,,,"Renewable and Sustainable Energy Reviews","2","Power Distribution Network","24","National Institute of Technology Srinagar","4","Agencia Estatal de Investigación","1","Kuwait","2",,,,
,,,,"Andresen, M.","2",,,,,,,"Scientia Iranica","2","Uncertainty Analysis","24","Kalinga Institute of Industrial Technology, Bhubaneswar","4","Agencia Nacional de Investigación y Desarrollo","1","Libya","2",,,,
,,,,"Ardalan, S.","2",,,,,,,"Smart Cities","2","Energy Management","23","Birla Institute of Technology and Science, Pilani","3","Agência Nacional de Energia Elétrica","1","Morocco","2",,,,
,,,,"Ashraf, I.","2",,,,,,,"Smart Grids and Sustainable Energy","2","Optimal Placements","23","Assiut University","3","Alan Turing Institute","1","Norway","2",,,,
,,,,"Babu, P.V.K.","2",,,,,,,"Sustainable Energy Technologies and Assessments","2","Battery Storage","22","National Institute of Technology Kurukshetra","3","Babol Noshirvani University of Technology","1","Romania","2",,,,
,,,,"Bajaj, M.","2",,,,,,,"Advanced Control for Applications Engineering and Industrial Systems","1","Energy","22","Instituto Superior de Engenharia do Porto","3","Bahria University","1","Taiwan","2",,,,
,,,,"Bakhsh, F.I.","2",,,,,,,"Advances in Electrical and Electronic Engineering","1","Multiobjective Optimization","22","Universidad Carlos III de Madrid","3","Basic and Applied Basic Research Foundation of Guangdong Province","1","Costa Rica","1",,,,
